"","top","model_type","test","gene","stat","pval","fdr","gene_index","ensembl","results"
"3990",5,"pairwise","middle-anterior","MEG3",7.43529424876462,1.52547393078682e-12,1.69535625489717e-09,8330,"ENSG00000214548","c(""posterior_top1""; ""middle-anterior_top5""; ""posterior-anterior_top1""; ""all_top3"")"
"3991",6,"pairwise","middle-anterior","KAT2A",7.30236409796495,3.47795567644747e-12,3.54316734538086e-09,9673,"ENSG00000108773","c(""posterior_top19""; ""middle-anterior_top6""; ""posterior-anterior_top3""; ""all_top7"")"
"3992",7,"pairwise","middle-anterior","UQCR11",7.21113778970436,6.09001488495672e-12,5.72695630527661e-09,10271,"ENSG00000127540","c(""middle_top1""; ""middle-anterior_top7"")"
"3993",8,"pairwise","middle-anterior","NAA38",7.15685342258436,8.48154917747062e-12,6.91246257963856e-09,9444,"ENSG00000183011","c(""middle_top2""; ""middle-anterior_top8"")"
"3994",9,"pairwise","middle-anterior","SELENOW",7.07961788470267,1.35507157563237e-11,1.03535937575661e-08,10845,"ENSG00000178980","c(""middle_top13""; ""middle-anterior_top9"")"
"3995",10,"pairwise","middle-anterior","METRN",7.04263468653224,1.69394492873098e-11,1.21814569139625e-08,8784,"ENSG00000103260","c(""middle_top18""; ""middle-anterior_top10"")"
"3996",11,"pairwise","middle-anterior","CORO6",6.84606956461646,5.47767658747486e-11,3.6194232485535e-08,9566,"ENSG00000167549","c(""posterior_top15""; ""middle-anterior_top11""; ""posterior-anterior_top4""; ""all_top9"")"
"3997",12,"pairwise","middle-anterior","UBL5",6.76066255921304,9.05971062885032e-11,5.27404583036644e-08,10408,"ENSG00000198258","c(""middle_top7""; ""middle-anterior_top12"")"
"3998",13,"pairwise","middle-anterior","MGST3",6.73893040831722,1.02903011284612e-10,5.71813324070171e-08,903,"ENSG00000143198","c(""middle_top14""; ""middle-anterior_top13"")"
"3999",14,"pairwise","middle-anterior","GAPDH",6.64265381899071,1.80323224320468e-10,9.58457137964226e-08,7131,"ENSG00000111640","middle-anterior_top14"
"4000",15,"pairwise","middle-anterior","NDUFA3",6.53840589533611,3.29000840158643e-10,1.67584802955809e-07,10937,"ENSG00000170906","c(""middle_top5""; ""middle-anterior_top15"")"
"4001",16,"pairwise","middle-anterior","LAMTOR4",6.51258109264939,3.81468619275603e-10,1.8653815482577e-07,4684,"ENSG00000188186","middle-anterior_top16"
"4002",17,"pairwise","middle-anterior","COX7A2",6.44404219929548,5.63861984176436e-10,2.61402088643521e-07,4076,"ENSG00000112695","middle-anterior_top17"
"4003",18,"pairwise","middle-anterior","UQCRQ",6.43988643160719,5.77329766329249e-10,2.61402088643521e-07,3479,"ENSG00000164405","c(""middle_top15""; ""middle-anterior_top18"")"
"4004",19,"pairwise","middle-anterior","ATF4",6.39199853338083,7.57224270352111e-10,3.3060952518052e-07,11690,"ENSG00000128272","c(""posterior_top20""; ""middle-anterior_top19""; ""posterior-anterior_top10""; ""all_top13"")"
"4005",20,"pairwise","middle-anterior","ARL6IP4",6.38526922946349,7.86556527340619e-10,3.31574260232382e-07,7692,"ENSG00000182196","middle-anterior_top20"
"4006",21,"pairwise","middle-anterior","ATP5MPL",6.36715900146752,8.71146031028466e-10,3.549920076441e-07,8355,"ENSG00000156411","character(0)"
"4007",22,"pairwise","middle-anterior","PEBP1",6.33145667490651,1.06485516597902e-09,4.06807950127922e-07,7636,"ENSG00000089220","character(0)"
"4008",23,"pairwise","middle-anterior","ELOB",6.04530981930466,5.17422362480404e-09,1.75708010592304e-06,8848,"ENSG00000103363","middle_top6"
"4009",24,"pairwise","middle-anterior","COPS9",6.01915477086591,5.9633227616398e-09,1.97031407462288e-06,1997,"ENSG00000172428","middle_top8"
"4010",25,"pairwise","middle-anterior","ATP5MF",5.93188764597005,9.54536679371251e-09,2.78422684108428e-06,4667,"ENSG00000241468","character(0)"
"4904",1,"pairwise","posterior-anterior","MEG3",10.905442496273,4.87893537425419e-23,1.98816616500858e-19,8330,"ENSG00000214548","c(""posterior_top1""; ""middle-anterior_top5""; ""posterior-anterior_top1""; ""all_top3"")"
"4905",2,"pairwise","posterior-anterior","PKD1",9.63961062113534,5.44239089668492e-19,1.33066457423946e-15,8826,"ENSG00000008710","c(""posterior_top7""; ""middle-anterior_top1""; ""posterior-anterior_top2""; ""all_top5"")"
"4906",3,"pairwise","posterior-anterior","KAT2A",8.23258630563024,9.04917534600585e-15,1.84376947674869e-11,9673,"ENSG00000108773","c(""posterior_top19""; ""middle-anterior_top6""; ""posterior-anterior_top3""; ""all_top7"")"
"4907",4,"pairwise","posterior-anterior","CORO6",8.2026981415505,1.10264226863839e-14,1.9256859620149e-11,9566,"ENSG00000167549","c(""posterior_top15""; ""middle-anterior_top11""; ""posterior-anterior_top4""; ""all_top9"")"
"4908",5,"pairwise","posterior-anterior","SNRNP70",8.13872411784492,1.68093301241339e-14,2.56867575959422e-11,10872,"ENSG00000104852","c(""posterior_top4""; ""posterior-anterior_top5""; ""all_top12"")"
"4909",6,"pairwise","posterior-anterior","CERCAM",8.09270803231334,2.27385752908812e-14,3.08865647701137e-11,5756,"ENSG00000167123","c(""posterior_top3""; ""posterior-anterior_top6""; ""all_top15"")"
"4910",7,"pairwise","posterior-anterior","LENG8",8.01824723454293,3.6998724646649e-14,4.45021372222757e-11,10948,"ENSG00000167615","c(""posterior_top5""; ""posterior-anterior_top7""; ""all_top14"")"
"4911",8,"pairwise","posterior-anterior","NPDC1",7.99482185996261,4.30991815547776e-14,4.45021372222757e-11,5863,"ENSG00000107281","c(""middle-anterior_top2""; ""posterior-anterior_top8""; ""all_top6"")"
"4912",9,"pairwise","posterior-anterior","WSB1",7.73054515232718,2.36807323709678e-13,2.22689964026986e-10,9528,"ENSG00000109046","c(""posterior_top8""; ""posterior-anterior_top9""; ""all_top16"")"
"4913",10,"pairwise","posterior-anterior","ATF4",7.68193433193652,3.22771768654993e-13,2.6305899145382e-10,11690,"ENSG00000128272","c(""posterior_top20""; ""middle-anterior_top19""; ""posterior-anterior_top10""; ""all_top13"")"
"4914",11,"pairwise","posterior-anterior","YPEL3",7.0170524780697,1.97588768873626e-11,1.20776134974004e-08,9020,"ENSG00000090238","c(""posterior_top14""; ""posterior-anterior_top11"")"
"4915",12,"pairwise","posterior-anterior","VWA5B2",6.97229345038121,2.58445681979815e-11,1.37434457329926e-08,2653,"ENSG00000145198","c(""posterior_top13""; ""posterior-anterior_top12"")"
"4916",13,"pairwise","posterior-anterior","KIFC2",6.97221447591241,2.58567895181047e-11,1.37434457329926e-08,5374,"ENSG00000167702","c(""posterior_top11""; ""posterior-anterior_top13"")"
"4917",14,"pairwise","posterior-anterior","REX1BD",6.9434619948263,3.07061833409093e-11,1.44378112054852e-08,10563,"ENSG00000006015","c(""middle-anterior_top4""; ""posterior-anterior_top14""; ""all_top11"")"
"4918",15,"pairwise","posterior-anterior","TPD52L2",6.73950543868894,1.02557164699459e-10,4.61930874403189e-08,11349,"ENSG00000101150","posterior-anterior_top15"
"4919",16,"pairwise","posterior-anterior","EVL",6.72238965548277,1.13357269792193e-10,4.61930874403189e-08,8323,"ENSG00000196405","c(""posterior_top2""; ""posterior-anterior_top16""; ""posterior-middle_top1"")"
"4920",17,"pairwise","posterior-anterior","AL359091.1",6.69969130245569,1.29420272725314e-10,5.10375107763537e-08,5755,"ENSG00000207955","c(""posterior_top16""; ""posterior-anterior_top17"")"
"4921",18,"pairwise","posterior-anterior","SCNN1D",6.61412940690361,2.12707054232355e-10,7.64806981761925e-08,12,"ENSG00000162572","c(""posterior_top18""; ""posterior-anterior_top18"")"
"4922",19,"pairwise","posterior-anterior","DDX17",6.57481307553984,2.66876930286371e-10,9.16933918805685e-08,11674,"ENSG00000100201","posterior-anterior_top19"
"4923",20,"pairwise","posterior-anterior","SEC31B",6.52989698544232,3.45453304044624e-10,1.11135964261724e-07,6228,"ENSG00000075826","posterior-anterior_top20"
"4924",21,"pairwise","posterior-anterior","MIAT",6.41691944786224,6.57651577273693e-10,2.06148475183869e-07,11573,"ENSG00000225783","character(0)"
"4925",22,"pairwise","posterior-anterior","ACADVL",6.27455888065316,1.4640633028654e-09,4.06776679034763e-07,9413,"ENSG00000072778","character(0)"
"4926",23,"pairwise","posterior-anterior","MAN2C1",6.25294894752889,1.65138717568369e-09,4.48626849394068e-07,8639,"ENSG00000140400","character(0)"
"4927",24,"pairwise","posterior-anterior","PAQR6",6.08005501710354,4.28218607637918e-09,1.09061926632782e-06,836,"ENSG00000160781","posterior_top10"
"4928",25,"pairwise","posterior-anterior","SOHLH1",6.04436604488354,5.20083159952876e-09,1.25608816089974e-06,5831,"ENSG00000165643","posterior_top12"
"6000",1,"pairwise","posterior-middle","EVL",5.27058954506208,2.86561023644126e-07,0.00175160425702472,8323,"ENSG00000196405","c(""posterior_top2""; ""posterior-anterior_top16""; ""posterior-middle_top1"")"
"6001",2,"pairwise","posterior-middle","KIF1A",4.78867085696808,2.82658458339355e-06,0.00457429684666084,2004,"ENSG00000130294","posterior-middle_top2"
"6002",3,"pairwise","posterior-middle","KIF5A",4.67793685882391,4.67066822711305e-06,0.00457429684666084,7411,"ENSG00000155980","c(""posterior_top6""; ""posterior-middle_top3"")"
"6003",4,"pairwise","posterior-middle","PDZD4",4.67299170181998,4.77560274899919e-06,0.00457429684666084,12169,"ENSG00000067840","posterior-middle_top4"
"6004",5,"pairwise","posterior-middle","NEFM",4.51928528160898,9.44088511590986e-06,0.0057707410270999,5009,"ENSG00000104722","posterior-middle_top5"
"6005",6,"pairwise","posterior-middle","CPLX1",4.48679686215103,1.08790908783116e-05,0.00604531299942542,2733,"ENSG00000168993","posterior-middle_top6"
"6006",7,"pairwise","posterior-middle","PIP5K1C",4.44348444500766,1.31266058239107e-05,0.00697707635640468,10313,"ENSG00000186111","posterior-middle_top7"
"6007",8,"pairwise","posterior-middle","CPLX2",4.3885131275457,1.66257306188404e-05,0.00781729064674322,3662,"ENSG00000145920","posterior-middle_top8"
"6008",9,"pairwise","posterior-middle","SCN1B",4.10025887149909,5.5275568164375e-05,0.0193069663088424,10632,"ENSG00000105711","c(""posterior_top9""; ""posterior-middle_top9"")"
"6009",10,"pairwise","posterior-middle","RAPGEF4",3.98406926232106,8.80955388589192e-05,0.0272222925556642,1769,"ENSG00000091428","posterior-middle_top10"
"6010",11,"pairwise","posterior-middle","RAB11B",3.86060500164588,0.000142894280345375,0.0403219317191783,10392,"ENSG00000185236","posterior-middle_top11"
"6011",12,"pairwise","posterior-middle","EPB41L3",3.81740309619032,0.000168766018692091,0.0458481017446847,10064,"ENSG00000082397","posterior-middle_top12"
"6012",13,"pairwise","posterior-middle","MBP",3.79235727805119,0.000185732872105251,0.0488404334257508,10219,"ENSG00000197971","posterior-middle_top13"
"6013",14,"pairwise","posterior-middle","MAP2",3.77656563592617,0.000197246464352513,0.049210980136928,1884,"ENSG00000078018","posterior-middle_top14"
"6014",15,"pairwise","posterior-middle","NFIX",3.77090139136177,0.000201538168039167,0.0492760820855763,10480,"ENSG00000008441","c(""anterior_top16""; ""anterior-middle_top4""; ""posterior-middle_top15"")"
"6053",1,"anova","all","C5orf63",82.274019366178,2.16538047851141e-28,2.64717763498019e-24,3456,"ENSG00000164241","c(""anterior_top1""; ""anterior-middle_top1""; ""anterior-posterior_top1""; ""all_top1"")"
"6054",2,"anova","all","GPM6A",73.8694548195717,4.10648741403375e-26,2.51009043182813e-22,3133,"ENSG00000150625","c(""anterior_top2""; ""anterior-middle_top2""; ""anterior-posterior_top2""; ""all_top2"")"
"6055",3,"anova","all","MEG3",62.1208393473913,9.13501570857408e-23,3.72251890124394e-19,8330,"ENSG00000214548","c(""posterior_top1""; ""middle-anterior_top5""; ""posterior-anterior_top1""; ""all_top3"")"
"6056",4,"anova","all","SEC62",57.7075092589357,1.86804378904531e-21,5.70920883026973e-18,2605,"ENSG00000008952","c(""anterior_top3""; ""anterior-middle_top3""; ""anterior-posterior_top3""; ""all_top4"")"
"6057",5,"anova","all","PKD1",53.3404837015871,3.9726201239076e-20,9.71305620295409e-17,8826,"ENSG00000008710","c(""posterior_top7""; ""middle-anterior_top1""; ""posterior-anterior_top2""; ""all_top5"")"
"6058",6,"anova","all","NPDC1",42.7726511102086,8.86914855349111e-17,1.80708901777381e-13,5863,"ENSG00000107281","c(""middle-anterior_top2""; ""posterior-anterior_top8""; ""all_top6"")"
"6059",7,"anova","all","KAT2A",40.6920240508287,4.27911091344461e-16,6.85491028832292e-13,9673,"ENSG00000108773","c(""posterior_top19""; ""middle-anterior_top6""; ""posterior-anterior_top3""; ""all_top7"")"
"6060",8,"anova","all","MTRNR2L10",40.6300396147303,4.4858308635242e-16,6.85491028832292e-13,11946,"ENSG00000256045","c(""anterior_top4""; ""anterior-middle_top6""; ""anterior-posterior_top4""; ""all_top8"")"
"6061",9,"anova","all","CORO6",38.6976432421014,1.96960804503464e-15,2.67538426117206e-12,9566,"ENSG00000167549","c(""posterior_top15""; ""middle-anterior_top11""; ""posterior-anterior_top4""; ""all_top9"")"
"6062",10,"anova","all","MTRNR2L1",36.3104386590346,1.2543260858584e-14,1.53341363996189e-11,9527,"ENSG00000256618","c(""anterior_top5""; ""anterior-middle_top5""; ""anterior-posterior_top8""; ""all_top10"")"
"6063",11,"anova","all","REX1BD",35.3699080463036,2.62042126641615e-14,2.91224090744886e-11,10563,"ENSG00000006015","c(""middle-anterior_top4""; ""posterior-anterior_top14""; ""all_top11"")"
"6064",12,"anova","all","SNRNP70",34.0649889639929,7.33379329853135e-14,7.47130192287882e-11,10872,"ENSG00000104852","c(""posterior_top4""; ""posterior-anterior_top5""; ""all_top12"")"
"6065",13,"anova","all","ATF4",33.8735154132608,8.53515499526591e-14,8.02632844747121e-11,11690,"ENSG00000128272","c(""posterior_top20""; ""middle-anterior_top19""; ""posterior-anterior_top10""; ""all_top13"")"
"6066",14,"anova","all","LENG8",33.1339512183015,1.5360648749266e-13,1.34131379256984e-10,10948,"ENSG00000167615","c(""posterior_top5""; ""posterior-anterior_top7""; ""all_top14"")"
"6067",15,"anova","all","CERCAM",33.011972799403,1.69282289899158e-13,1.37965066267814e-10,5756,"ENSG00000167123","c(""posterior_top3""; ""posterior-anterior_top6""; ""all_top15"")"
"6068",16,"anova","all","WSB1",31.8398201879111,4.32288164932784e-13,3.16927181310881e-10,9528,"ENSG00000109046","c(""posterior_top8""; ""posterior-anterior_top9""; ""all_top16"")"
"6069",17,"anova","all","MTRNR2L3",31.8157667289315,4.40716734747237e-13,3.16927181310881e-10,11294,"ENSG00000256222","c(""anterior_top6""; ""anterior-middle_top7""; ""anterior-posterior_top17""; ""all_top17"")"
"6070",18,"anova","all","BASP1",31.5889467427395,5.28812183845342e-13,3.56684064775144e-10,3206,"ENSG00000176788","c(""anterior_top9""; ""anterior-middle_top19""; ""anterior-posterior_top6""; ""all_top18"")"
"6071",19,"anova","all","HSP90AA1",31.530283187126,5.54355601695521e-13,3.56684064775144e-10,8334,"ENSG00000080824","c(""anterior_top7""; ""anterior-middle_top9""; ""anterior-posterior_top11""; ""all_top19"")"
"6072",20,"anova","all","HSP90AB1",31.1217051853156,7.70340625058403e-13,4.70870707066949e-10,4022,"ENSG00000096384","c(""anterior_top8""; ""anterior-middle_top13""; ""anterior-posterior_top7""; ""all_top20"")"
"6073",21,"anova","all","EDF1",30.9560438524385,8.80489245428473e-13,5.12570525017289e-10,5855,"ENSG00000107223","c(""middle_top4""; ""middle-anterior_top3"")"
"6074",22,"anova","all","NFIX",30.8755657170196,9.39597968979219e-13,5.22117507762316e-10,10480,"ENSG00000008441","c(""anterior_top16""; ""anterior-middle_top4""; ""posterior-middle_top15"")"
"6075",23,"anova","all","MT-ND4",29.5684872594672,2.71165776237311e-12,1.4413050497831e-09,12221,"ENSG00000198886","anterior-posterior_top5"
"6076",24,"anova","all","TMBIM6",27.0567268789386,2.1304571798487e-11,1.08520162598543e-08,7305,"ENSG00000139644","c(""anterior_top10""; ""anterior-middle_top16""; ""anterior-posterior_top14"")"
"6077",25,"anova","all","RAC1",26.8199275051701,2.59186181502064e-11,1.26742042754509e-08,4388,"ENSG00000136238","c(""anterior_top11""; ""anterior-posterior_top10"")"
